Number,Ticker,KoreanTicker
319,ITUB,이타우 우니방쿠 홀딩 SA ADR
320,EC,에코페트롤 SA ADR
321,CCEP,코카-콜라 유러피언 파트너스
322,ALB,앨버말
323,O,리얼티 인컴
324,VLO,발레로 에너지
325,ED,콘솔리데이티드 에디슨
326,UMC,유나이티드 마이크로일렉트로닉 ADR
327,FTV,포티브
328,GNRC,제네락 홀딩스
329,KSU,캔자스 시티 서던
330,DB,도이치은행
331,ET,에너지 트랜스퍼
332,WY,와이어하우저
333,URI,유나이티드 렌탈스
334,MGA,마그나 인터내셔널
335,DAL,델타 에어라인스
336,YUMC,염 차이나 홀딩스
337,VMC,벌칸 머티리얼스
338,APO,아폴로 글로벌 매니지먼트
339,IT,가트너
340,CS,크레디트 스위스 ADR
341,OXY,옥시덴털 페트롤리움
342,CAJ,캐논 ADR
343,ABC,아메리소스버겐
344,DOV,도버
345,WAT,워터스
346,HRL,호멜 푸즈
347,MLM,마틴 마리에타 머터리얼스
348,CNHI,CNH 인더스트리얼
349,OKE,원오케이
350,XYL,자일럼
351,HIG,하트포드 파이낸셜 서비스 그룹
352,FMS,프레제니우스 메디칼 케어 ADR
353,BEKE,KE Holdings Inc
354,EXR,엑스트라 스페이스 스토리지
355,BIP,Brookfield Infrastructure Partners LP Unit
356,DTE,DTE 에너지
357,IP,인터내셔널 페이퍼
358,CCL,카니발
359,TDOC,텔라닥 헬스
360,RNG,링센트럴 Class A
361,BURL,벌링턴 스토어스
362,TLK,텔레코무니카시 인도네시아 ADR Series B
363,IX,오릭스 ADR
364,GWW,W W 그레인저
365,TRU,트랜스유니온
366,SUI,선 커뮤니티즈
367,ZTO,ZTO 익스프레스 (케이만) ADR Class A
368,INVH,인비테이션 홈스
369,AEE,애머런
370,AVTR,어밴터
371,PPL,PPL
372,HES,헤스
373,BKR,베이커 휴즈
374,PKX,포스코 ADR
375,K,켈로그
376,IR,잉가솔랜드
377,ETR,엔터지
378,FTS,포르티스
379,STE,스테리스
380,COO,쿠퍼
381,EIX,에디슨 인터내셔널
382,MAA,미드아메리카 아파트 커뮤니티
383,VTR,벤타스
384,BBD,방쿠 브라데스쿠 ADR Each Rep 1 PRF NPV
385,FLT,플리트코어 테크놀로지스
386,MKC,매코믹 & 컴퍼니
387,TDY,텔레다인 테크놀로지스
388,BF-B,브라운-포맨 Class B
389,KMX,카맥스
390,AGR,아반그리드
391,FE,퍼스트에너지
392,CHD,처치 & 드와이트
393,CRL,찰스 리버 래버러토리스 인터내셔널
394,CTLT,캐털란트
395,CLX,크로락스
396,ESS,에섹스 프로퍼티 트러스트
397,RCL,로얄 캐리비안 크루즈
398,ARES,아레스 매니지먼트 Class A
399,PKI,퍼킨엘머
400,BR,브로드리지 파이낸셜 솔루션스
401,RCI,로저스 커뮤니케이션스
402,KEY,키코프
403,HPE,휴렛패커드 엔터프라이즈
404,RF,리전스 파이낸셜
405,MGP,MGM 그로스 프로퍼티
406,LU,루팍스 홀딩 ADR
407,ASX,ASE 테크놀로지 홀딩 ADR
408,MGM,MGM 리조트 인터내셔널
409,GIB,CGI 그룹 Class A
410,ALLY,앨라이 파이낸셜
411,TYL,타일러 테크놀로지스
412,UI,유비퀴티
413,WPM,휘턴 프레셔스 메탈스
414,CFG,시티즌스 파이낸셜 그룹
415,DVN,데번 에너지
416,DRE,듀크 리얼티
417,RJF,레이먼드 제임스 파이낸셜
418,DPZ,도미노 피자
419,PEAK,헬스피크 프로퍼티즈
420,BIO,바이오래드 래보라토리스 Class A
421,FMX,포멘토 에코노미코 멕시카노 SAB de CV ADR
422,PAGS,파그세구로 디지털 Class A
423,NVR,NVR Inc
424,BBDO,방쿠 브라데스쿠 ADR Each Rep 1 ORD SH
425,AMCR,앰코
426,DRI,다든 레스토랑
427,LYV,라이브 네이션 엔터테인먼트
428,BXP,보스턴 프로퍼티스
429,PCG,퍼시픽 가스 & 일렉트릭
430,ROL,롤린스
431,CMS,CMS 에너지
432,MTB,M&T 은행
433,HAL,할리버튼
434,SHG,신한금융지주 ADR
435,J,제이콥스 엔지니어링
436,CE,셀라니즈 코퍼레이션
437,DGX,퀘스트 다이아그노스틱스
438,DT,다이나트레이스
439,GPC,제뉴인 파츠
440,AVY,에이버리 데니슨
441,KB,KB금융지주 ADR
442,PBA,펨비나 파이프라인
443,MKL,마켈
444,IEX,아이덱스
445,TME,텐센트뮤직엔터테인먼트그룹 ADR Class A
446,CVE,세노버스 에너지
447,BILL,빌닷컴 홀딩스
448,AMC,AMC 엔터테인먼트 홀딩스 Class A
449,TFX,텔레플렉스
450,WAB,웨스팅하우스 에어 브레이크 테크놀로지
451,SNN,스미스 & 네퓨 ADR
452,AES,AES Corp
453,BEN,프랭클린 리소시스
454,TXT,텍스트론
455,SKM,SK텔레콤 ADR
456,JHX,제임스 하디 인더스트리스 ADR
457,WPP,WPP PLC ADR
458,BBWI,L 브랜즈
459,OMC,옴니콤 그룹
460,VICI,VICI 프라퍼티
461,VEDL,베단타 ADR
462,FTCH,파페치
463,CAG,콘아그라 브랜즈
464,CDAY,세리디언 HCM 홀딩
465,OWL,블루 아울 캐피탈 Class A
466,CNP,센터포인트 에너지
467,UDR,UDR Inc
468,EMN,이스트만 케미컬
469,BRO,브라운 & 브라운
470,RH,RH
471,NMR,노무라 홀딩스 ADR
472,EVRG,에버지
473,MAS,매스코
474,BEPC,브루크필드 리뉴어블 Class A
475,CAH,카디널 헬스
476,ELS,에퀴티 라이프스타일 프로퍼티스
477,CLVT,클래리베이트
478,ZEN,젠데스크
479,IPG,인터퍼블릭 그룹 오브 컴퍼니스
480,DOCS,독시미티 Class A
481,WPC,WP 케어리
482,CPT,캠든 프로퍼티 트러스트
483,MHK,모호크 인더스트리스
484,WHR,월풀
485,MOH,몰리나 헬스케어
486,L,로우스
487,ENIA,에넬 아메리카스 ADR
488,AVLR,아발라라
489,ELAN,엘란코 애니멀 헬스
490,SUZ,수자노 SA ADR
491,CCK,크라운 홀딩스
492,SJM,J-M- 스머커
493,PHM,풀티 그룹
494,AEM,애그니코 이글 마인스
495,FBHS,포춘 브랜즈 홈 & 시큐리티
496,ESTC,엘라스틱 NV
497,HWM,하우멧 에어로스페이스
498,SJR,쇼 커뮤니케이션스 Class B
499,FNF,피델리티 내셔널 파이낸셜
500,CLR,콘티넨탈 리소시즈
501,KEP,한국전력 ADR
502,ACI,앨버트슨 컴퍼니
503,PKG,패키징 코퍼레이션 오브 아메리카
504,WRK,웨스트록
505,DVA,다비타
506,NTCO,나투라 & Co 홀딩 SA ADR
507,FDS,팩트셋 리서치 시스템즈
508,AAP,어드밴스 오토 파츠
509,PWR,콴타 서비스
510,AGL,애질론 헬스
511,TTM,타타 모터스 ADR
512,YMM,풀 트럭 얼라이언스 ADR Class A
513,LDOS,레이도스 홀딩스
514,KIM,킴코 리얼티
515,IRM,아이언 마운틴
516,LSPD,Lightspeed POS Inc
517,LUMN,루멘 테크놀로지스
518,VIV,텔레포니카 브라질 SA ADR
519,EQH,이퀴터블 홀딩스
520,LNC,링컨 내셔널
521,GGG,그라코
522,AMH,아메리칸 홈스 포 렌트Class A
523,ATUS,알티스 USA
524,PNR,펜테어
525,ATO,애트모스 에너지
526,WRB,W- R- 버클리
527,S,센티넬원 Class A
528,SC,산탄데르 컨슈머 USA 홀딩스
529,CPB,캠벨 수프
530,ASAN,아사나 Class A
531,FICO,페어 아이작
532,MOS,모자이크
533,CLF,클리블랜드-클리프스
534,JLL,존스 랭 라살
535,LII,레녹스 인터내셔널
536,PCOR,프로코어테크놀러지스
537,DAR,달링 인그리디언츠
538,ATH,아테네 홀딩 Class A
539,TPR,태피스트리
540,TREX,트렉스
541,NLY,애널리 캐피털 매니지먼트
542,LFC,중국생명보험 ADR
543,UHS,유니버셜 헬스 서비스 Class B
544,CABO,케이블 원
545,FND,플로어 & 데코 홀딩스 Class A
546,ALLE,얼리지언
547,SNA,스냅-온
548,WSM,윌리엄 소노마
549,TS,테나리스 SA ADR
550,OSH,오크 스트리트 헬스
551,FMC,FMC Corp
552,TTC,토로
553,CX,시멕스 SAB de CV ADR
554,BKI,블랙 나이트
555,GDDY,고대디 Class A
556,SNP,중국석유화공 (시노펙) ADR
557,MTN,베일 리조트
558,CNA,CNA 파이낸셜
559,TECK,텍 리소스 Class B
560,UWMC,UWM 홀딩스 Class A
561,WTRG,에센셜 유틸리티스
562,CHGG,체그
563,DECK,덱커 아웃도어
564,MPW,메디컬 프로퍼티즈 트러스트
565,QGEN,퀴아젠 NV
566,IHG,인터컨티넨탈 호텔 그룹 ADR
567,GFL,GFL 인바이런먼털
568,TPL,텍사스 퍼시픽 랜드
569,GME,게임스탑
570,IVZ,인베스코
571,RHI,로버트 하프 인터내셔널
572,AFG,아메리칸 파이낸셜 그룹
573,VIPS,브이아이피숍 홀딩스 ADR
574,SID,시데루르지카 나시오나우 ADR
575,VER,베리트
576,AOS,A O 스미스
577,LEVI,리바이 스트라우스 Class A
578,LAD,리시아 모터스 Class A
579,GPS,갭
580,RPM,RPM 인터내셔널
581,BG,번지
582,HUBB,허벨
583,BWA,보그워너
584,SBSW,시바니 스틸워터 ADR
585,TEVA,테바제약 ADR
586,BAH,부즈 앨런 해밀턴 홀딩
587,TX,테르니움 SA ADR
588,SCI,서비스 코퍼레이션 인터내셔널
589,BF-A,브라운-포맨 Class A
590,WLK,웨스트레이크 케미컬
591,EDR,엔데버 그룹 홀딩스 Class A
592,GLOB,글로번트
593,RE,에베레스트 리 그룹
594,CSL,칼라일
595,AGCO,애그코
596,BLDR,빌더스 퍼스트소스
597,MMP,Magellan Midstream Partners LP Unit
598,BEP,Brookfield Renewable Partners LP Unit
599,NRG,NRG 에너지
600,WAL,웨스턴 얼라이언스 뱅코프
601,TFII,TFI 인터내셔널
602,CF,CF 인더스트리스 홀딩스
603,RDY,닥터 레디스 래보라토리스 ADR
604,DXC,DXC 테크놀러지 컴퍼니
605,KL,커클랜드 레이크 골드
606,CUBE,큐브스마트
607,TRGP,타르가 리소스
608,XPO,엑스포 로지스틱스
609,CMA,코메리카
610,TAP,몰슨 쿠어스 브루잉 Class B
611,OC,오웬스 코닝
612,LEA,리어
613,RS,릴라이언스 스틸 & 알루미늄
614,DLB,돌비 래보러터리 Class A
615,AEG,아에혼 ADR
616,UGI,UGI Corp
617,NI,나이소스
618,HEI-A,헤이코 Class A
619,GL,글로브 라이프
620,TUYA,투야 ADR Class A
